#
#
# US Geological Survey
# retrieved: 2017-09-18 15:25:39 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/uv
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  alt_meth_cd     -- Method altitude determined
#
#
# query started 2017-09-18 15:25:39 EDT
#
# there are 216 sites matching the search criteria.
#
#
site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	alt_meth_cd
15s	50s	16n	16n	1s	10s	8s	3s	10s	1s
02228500	NORTH PRONG ST. MARYS RIVER AT MONIAC, GA	30.51773125	-82.23039540	S	NAD83				
02231000	ST. MARYS RIVER NEAR MACCLENNY, FL	30.35884726	-82.08150130	S	NAD83	 40.00			L
02231342	FT DRUM CREEK AT SUNSHINE ST PKY NEAR FT DRUM, FL	27.56864730	-80.79617090	S	NAD83				
02231396	BLUE CYPRESS CREEK NEAR FELLSMERE, FL	27.72808533	-80.80505949	S	NAD83				
02231454	SIXMILE CREEK NEAR KENANSVILLE, FL	27.86666667	-80.80500000	1	NAD83				
02231600	JANE GREEN CREEK NEAR DEER PARK, FL	28.07446200	-80.88811550	S	NAD83	 18.55			M
02232000	ST. JOHNS RIVER NEAR MELBOURNE, FL	28.08473879	-80.75200100	S	NAD83	 11.22			M
02232200	WOLF CREEK NEAR DEER PARK, FL	28.21306810	-80.91089309	S	NAD83	 19.35			M
02232400	ST. JOHNS RIVER NEAR COCOA, FL	28.36972837	-80.87255780	S	NAD83				
02232500	ST. JOHNS RIVER NEAR CHRISTMAS, FL	28.54305529	-80.94339200	S	NAD83	 1.62			L
02233200	LITTLE ECONLOCKHATCHEE RIVER NEAR UNION PARK, FL	28.52500210	-81.24395600	S	NAD83				
02233484	ECONLOCKHATCHEE RIVER NEAR OVIEDO, FL	28.65555285	-81.16978600	S	NAD83				
02233500	ECONLOCKHATCHEE RIVER NEAR CHULUOTA, FL	28.67777778	-81.11416670	S	NAD83				
02234000	ST. JOHNS RIVER ABOVE LAKE HARNEY NEAR GENEVA, FL	28.71416110	-81.03533740	S	NAD83				
02234324	HOWELL CREEK NEAR SLAVIA, FL	28.64777587	-81.26451090	S	NAD83				
02234384	SOLDIER CREEK NEAR LONGWOOD, FL	28.71888466	-81.30867800	S	NAD83				
02234400	GEE CREEK NEAR LONGWOOD, FL	28.70416290	-81.29062210	S	NAD83				
02234435	LAKE JESUP OUTLET NEAR SANFORD, FL	28.78415969	-81.18117379	S	NAD83				
02234500	ST. JOHNS RIVER NEAR SANFORD, FL	28.83804694	-81.32423230	S	NAD83				
02234990	LITTLE WEKIVA RIVER NEAR ALTAMONTE SPRINGS, FL	28.68721920	-81.39701380	S	NAD83				
02235000	WEKIVA RIVER NEAR SANFORD, FL	28.81527009	-81.41923539	S	NAD83	 4.96			L
02235200	BLACKWATER CREEK NEAR CASSIA, FL	28.87444444	-81.48972220	1	NAD83	 18.55			M
02235500	BLUE SPRINGS NEAR ORANGE CITY, FL	28.94415400	-81.33978660	S	NAD83				
02236000	ST. JOHNS RIVER NEAR DE LAND, FL	29.00831827	-81.38256510	S	NAD83	 -.09			M
02236125	ST. JOHNS RIVER AT ASTOR, FL	29.16692445	-81.52201570	S	NAD83				
